relative_time,LinearAccelerometerSensor,AccX,AccY,AccZ
0,,,,11.274765014648438
1,,-0.6635284423828125,,
2,,,4.20245361328125,
32,1.709255419354442,-0.2639312744140625,4.43096923828125,12.2593994140625
59,,,,11.966293334960938
60,,1.907562255859375,4.73126220703125,
83,,1.1825408935546875,5.0327606201171875,11.397994995117188
84,,-0.8740997314453125,5.505340576171875,11.077346801757813
104,2.2910112541918024,-1.28326416015625,5.59149169921875,10.23028564453125
124,,0.3306884765625,6.0006561279296875,9.834274291992188
144,,1.6874237060546875,5.35699462890625,9.829498291015625
170,2.1162965596141916,1.28662109375,4.4991607666015625,11.147933959960938
202,,-0.216064453125,2.9342498779296875,12.41015625
206,,-1.991546630859375,1.9532012939453125,11.989013671875
255,1.4755570959861277,-2.26312255859375,2.2714385986328125,10.36907958984375
266,,0.804473876953125,3.3673553466796875,7.8219146728515625
286,,1.1897125244140625,2.905548095703125,8.079147338867188
316,3.539721295005226,-0.05096435546875,2.301361083984375,8.398590087890625
327,,-2.1063995361328125,1.904144287109375,8.527801513671875
346,,-2.74407958984375,2.1063385009765625,8.488311767578125
366,2.08311356974847,-1.0391998291015625,2.748809814453125,8.461990356445313
386,,0.2744598388671875,3.551605224609375,8.684524536132813
419,,0.2577056884765625,3.746612548828125,8.940567016601563
432,3.8007017090051884,-0.022247314453125,3.4893951416015625,9.01953125
455,,0.1093597412109375,3.64013671875,8.353118896484375
469,,,,7.54315185546875
470,,0.5436553955078125,4.089996337890625,
492,,1.0353851318359375,4.3878936767578125,6.9951934814453125
512,1.6827090742512518,1.0593109130859375,4.6056365966796875,6.8061676025390625
527,,2.8922119140625,,11.0450439453125
528,,,5.322296142578125,
550,,1.4110565185546875,5.3306732177734375,11.155120849609375
568,2.154896629314786,0.64654541015625,4.952606201171875,10.121414184570313
599,,1.0138397216796875,4.925079345703125,8.744354248046875
608,,1.2411651611328125,5.0088348388671875,7.6448516845703125
639,1.165341947822316,2.4148406982421875,5.1212921142578125,8.016937255859375
654,,3.1135406494140625,6.056884765625,9.416732788085938
686,,1.5893096923828125,5.153594970703125,9.819931030273438
694,,0.0399627685546875,3.0957794189453125,11.581039428710938
709,1.1662226354203649,0.0172271728515625,2.4999542236328125,15.969482421875
726,,,,18.937774658203125
727,,1.543853759765625,3.3673553466796875,
754,,1.7639923095703125,4.2299652099609375,14.289718627929688
786,1.2024027650663012,1.2124481201171875,3.3446197509765625,8.958511352539063
795,,0.2469482421875,4.098358154296875,6.1744537353515625
810,,-0.3775787353515625,4.3687591552734375,5.6037750244140625
833,6.077663688510951,-0.71856689453125,4.6056365966796875,6.7164306640625
851,,0.1213226318359375,4.0732421875,7.7142333984375
887,,-1.089447021484375,3.3565826416015625,8.542160034179688
896,,-3.68206787109375,3.1029510498046875,8.728790283203125
910,3.003478259090955,-4.0421905517578125,4.2814178466796875,10.854812622070313
936,,-4.104400634765625,5.0196075439453125,9.579452514648438
950,,-3.4080963134765625,4.462066650390625,8.430892944335938
985,2.2481347936014457,-2.812286376953125,3.08978271484375,8.269378662109375
995,,-2.208099365234375,3.0610809326171875,8.594802856445313
1032,,,,9.414337158203125
1033,2.4739205019551247,-2.4629364013671875,3.5946807861328125,
1063,,-1.7498626708984375,3.3422393798828125,5.7784423828125
1072,,,,6.0033721923828125
1073,,-2.015472412109375,3.187896728515625,
1104,1.7158582462813725,-2.30859375,4.654693603515625,11.214935302734375
1112,,-2.8996124267578125,4.267059326171875,12.31683349609375
1153,,-4.1905517578125,3.851898193359375,11.12640380859375
1178,1.7954249626505667,-3.3554534912109375,3.927276611328125,10.126205444335938
1191,,,,8.8807373046875
1192,,-4.3101806640625,2.7631683349609375,
1213,,-3.6892547607421875,2.5119171142578125,8.887924194335938
1246,2.4279677999268627,-3.0156707763671875,3.253692626953125,10.121414184570313
1254,,,,10.739959716796875
1255,,-2.24517822265625,2.4568939208984375,
1272,,,,8.409347534179688
1273,,-3.536102294921875,0.1418304443359375,
1293,1.9488988090109456,-5.9349212646484375,-0.290069580078125,7.53717041015625
1313,,-4.0015106201171875,-0.7602691650390625,10.778244018554688
1336,,-3.6904449462890625,1.4818115234375,12.149337768554688
1366,,-1.9317169189453125,1.6959686279296875,10.827301025390625
1375,3.682672346941715,-1.264129638671875,1.480621337890625,9.206161499023438
1393,,-3.4140777587890625,3.966766357421875,9.023117065429688
1413,,,,10.402572631835938
1420,,-3.4810791015625,4.87603759765625,
1454,3.5623534323005535,-1.6661224365234375,3.7729339599609375,9.397598266601563
1472,,-3.2382049560546875,2.3827056884765625,7.7106475830078125
1499,0.6148094768738748,-4.450164794921875,4.22039794921875,6.35870361328125
1515,,,,3.307861328125
1517,,-4.6356048583984375,3.628173828125,
1549,,-2.2368011474609375,2.5645599365234375,1.0191192626953125
1582,1.7947277341833223,-0.3656158447265625,1.8191986083984375,3.543548583984375
1595,,0.072265625,0.4923858642578125,8.24066162109375
1638,,2.5009765625,,9.348541259765625
1639,6.41478804133343,,0.866851806640625,
1655,,5.7396697998046875,1.82757568359375,10.058013916015625
1682,,0.2804412841796875,-0.3738250732421875,12.417327880859375
1696,5.25013187787768,-4.00390625,-0.676513671875,9.533981323242188
1737,,-6.7628326416015625,-2.812103271484375,6.0847320556640625
1756,,-13.198333740234375,-3.320587158203125,-0.5948333740234375
1789,8.129495638772452,-24.097640991210938,-5.10443115234375,-0.5601348876953125
1805,,-34.3472900390625,-10.78857421875,-0.1856689453125
1830,,-32.897247314453125,-16.493072509765625,-2.79144287109375
1842,2.977693438007747,-23.319961547851563,-25.000747680664063,-3.8251495361328125
1863,,3.2307891845703125,-31.634857177734375,-5.288360595703125
1912,25.05180058204088,36.21705627441406,-17.055389404296875,-7.4562530517578125
1929,,32.49501037597656,-8.48309326171875,1.114837646484375
2080,35.17323721540196,6.0626983642578125,-16.141326904296875,4.7782440185546875
2125,25.307008953024013,4.68682861328125,1.991485595703125,21.82830810546875
2161,14.574869428151192,-5.7733917236328125,1.4734344482421875,20.472763061523438
2345,11.715009819804889,-6.936309814453125,-0.81768798828125,17.96868896484375
2362,5.858103703230486,,,
2363,,-0.5510711669921875,-1.3369293212890625,13.458206176757813
2388,,-0.9698028564453125,-0.272125244140625,9.423904418945313
2434,,-1.09423828125,-0.0053253173828125,8.444046020507813
2441,7.274867063795629,1.1370697021484375,-0.7782135009765625,6.1840362548828125
2462,,-6.284271240234375,-0.5867767333984375,12.20556640625
2486,,-0.53790283203125,0.2770233154296875,11.691116333007813
2503,2.41003229697339,0.1021728515625,0.93505859375,6.6841278076171875
2524,,0.8152313232421875,0.2483062744140625,13.45941162109375
2541,,-0.509185791015625,-0.124969482421875,15.19659423828125
2562,2.079469059707786,0.290008544921875,0.9087371826171875,6.4364776611328125
2583,,,,9.3377685546875
2584,,0.2337799072265625,0.64312744140625,
2605,,-0.0940399169921875,0.590484619140625,9.804367065429688
2622,,-0.308197021484375,0.518707275390625,10.293701171875
2642,2.45517795453856,-0.29144287109375,0.5533905029296875,10.396591186523438
2666,,,,10.394195556640625
2667,,-0.2663116455078125,0.5222930908203125,
2684,,-0.2938385009765625,0.5330657958984375,10.449234008789063
2702,1.703688641994506,-0.308197021484375,0.5198974609375,10.4803466796875
2721,,-0.292633056640625,0.501953125,10.497085571289063
2742,,-0.302215576171875,0.5079345703125,10.483932495117188
2767,1.6786848757475592,-0.2890472412109375,0.494781494140625,10.485122680664063
2785,,-0.2818756103515625,0.4875946044921875,10.44683837890625
2804,,-0.292633056640625,0.5103302001953125,10.397796630859375
2823,1.6897808484747934,-0.298614501953125,0.5198974609375,10.36309814453125
2843,,-0.284271240234375,0.52587890625,10.352325439453125
2866,,,,10.284133911132813
2867,,-0.3069915771484375,0.52587890625,
2884,,-0.286651611328125,0.5414276123046875,10.235076904296875
2904,1.636105151544298,-0.304595947265625,0.537841796875,10.229095458984375
2924,,-0.2770843505859375,0.509124755859375,10.160903930664063
2944,,-0.2890472412109375,0.561767578125,10.205169677734375
2967,1.551721859341991,-0.2950286865234375,0.530670166015625,10.151336669921875
2984,,-0.302215576171875,0.5450286865234375,10.163299560546875
3004,,-0.3010101318359375,,10.189620971679688
3005,,,0.5294647216796875,
3025,1.3599458570081127,-0.26751708984375,0.5354461669921875,10.22430419921875
3051,,-0.2950286865234375,0.5198974609375,10.254226684570313
3068,,-0.28546142578125,0.524688720703125,10.280548095703125
3085,,-0.27947998046875,0.512725830078125,10.297286987304688
3105,1.2071623993272858,-0.268707275390625,0.518707275390625,10.352325439453125
3126,,-0.2878570556640625,0.5163116455078125,10.373855590820313
3151,,-0.2639312744140625,0.537841796875,10.373855590820313
3168,1.1064912091236514,-0.2770843505859375,0.5510101318359375,10.448043823242188
3186,,-0.286651611328125,0.5390472412109375,10.419326782226563
3204,,-0.27947998046875,0.5318603515625,10.431289672851563
3226,1.007869866682755,-0.251953125,0.4995574951171875,10.401382446289063
3251,,-0.2818756103515625,0.5043487548828125,10.370269775390625
3266,,,,10.358306884765625
3267,,-0.286651611328125,0.5222930908203125,
3286,,,,10.306869506835938
3287,,-0.298614501953125,0.503143310546875,
3306,0.9110374605221455,,,
3307,,-0.2998199462890625,0.5282745361328125,10.310455322265625
3328,,-0.32135009765625,0.521087646484375,10.273361206054688
3350,,-0.298614501953125,0.5390472412109375,10.28173828125
3367,0.7926201265429207,-0.27947998046875,0.5234832763671875,10.255416870117188
3387,,-0.2699127197265625,0.5390472412109375,10.23028564453125
3407,,-0.2531585693359375,0.515106201171875,10.199188232421875
3439,0.670163436356603,-0.2591400146484375,0.518707275390625,10.221923828125
3450,,-0.27947998046875,0.5270843505859375,10.225509643554688
3468,,-0.284271240234375,0.5474090576171875,10.237472534179688
3488,,-0.29742431640625,0.5198974609375,10.2637939453125
3508,,-0.274688720703125,0.4983673095703125,10.269775390625
3509,0.6071211140810453,,,
3534,,-0.2950286865234375,,10.317626953125
3550,,-0.2770843505859375,0.512725830078125,10.32122802734375
3568,0.5290612403597766,-0.29742431640625,0.515106201171875,10.34515380859375
3593,,,,10.340362548828125
3594,,-0.2830657958984375,0.5103302001953125,
3609,,-0.28546142578125,0.515106201171875,10.385833740234375
3635,0.49797072482906957,-0.2938385009765625,0.5270843505859375,10.407363891601563
3650,,-0.2998199462890625,0.5354461669921875,10.358306884765625
3669,,-0.2782745361328125,0.506744384765625,10.361892700195313
3689,0.45760485526256767,-0.2758941650390625,0.5163116455078125,10.358306884765625
3709,,-0.2938385009765625,0.5234832763671875,10.352325439453125
3732,,-0.2830657958984375,,10.298492431640625
3733,,,0.537841796875,
3750,,-0.29144287109375,0.530670166015625,10.291305541992188
3770,,-0.2998199462890625,0.5402374267578125,10.290115356445313
3771,0.40381983011427214,,,
3790,,-0.30340576171875,0.5498046875,10.2996826171875
3810,,-0.3165740966796875,0.537841796875,10.266189575195313
3831,0.3338727039342471,-0.30340576171875,0.512725830078125,10.248245239257813
3859,,-0.27349853515625,0.5318603515625,10.266189575195313
